DISTRICT NUMBER,DISTRICT NAME,YEAR,ALL FUNDS-LOCAL TAX REVENUE FROM M&O,ALL FUNDS-STATE REVENUE,ALL FUNDS-OTHER LOCAL & INTERMEDIATE REVENUE,ALL FUNDS-LOCAL PROPERTY TAXES FROM I&S,ALL FUNDS-STATE DEBT FUNDS,ALL FUNDS-OTHER RECEIPTS,ALL FUNDS-DEBT SERVICE FINANCING RELATED REVENUE,Revenue Sum,Revenue Sum w/ Debt,REPORT_CHARTER_STATUS,2018-2019 ADA,REGION,COUNTY,Asian,Black or African American,Hispanic/Latino,Two or more races,White,American Indian or Alaska Nat,Native Hawaiian/Other Pacific,Total Ethnicity,District 2019 Overall Rating,District 2019 Overall Scaled Score,Student Achievement Rating,Student Achievement Scaled Score,School Progress Resolved Rating,School Progress Resolved Scaled Score,Closing the Gaps Rating,Closing the Gaps Scaled Score,Rated Under AEA Procedures,Charter Operator,New Charter Operator,Residential Treatment Facility,Single District Campus - PEIMS,# Enrolled in Grades 3-12,% Enrolled in Grades 3-12,All Students Count,# Economically Disadvantaged,% Economically Disadvantaged,# LEP Students,% LEP Students,# Special Education,% Special Education,# Enrolled in Early College High School,% Enrolled in Early College High School,# Pathways in Technology ECHS,% Pathways in Technology ECHS,# Enrolled in a T-Stem Academy,% Enrolled in a T-Stem Academy,Total AEA Bonus Points Received,AEA Bonus Graduation or Dropout Rate Used,AEA Bonus GRAD/CCMR Points Received,AEA Bonus STAAR Percentage,AEA Bonus STAAR Points Received,Any Change due to Appeal,Number of Consecutive Years Improvement Required (IR),County Name,County #,Postsecondary Readiness Distinction,"Final Rating Update Status: 1 = Appeal granted, 2 = Rating update to 'Q' - Not Rated due to Data Integrity issue",STAAR Component Raw Score,STAAR Component Scaled Score,CCMR Component Raw Score,CCMR Component Scaled Score,Graduation Rate Component Raw Score,Graduation Rate Component Scaled Score,Academic Growth Raw Score
057916,RICHARDSON ISD,2019,256263948,75349840,20795174,79108536,607263,1197373,0,433322134,433322134,Traditional ISD/CSD,"36,357.506",10,DALLAS COUNTY,2746,8641,14748,1123,11697,100,53,39108,B,88,B,86,B,89,B,85,N,N,N,N,N,28345,72.7,38985,21697,55.7,10417,26.7,4562,11.7,0,0,945,2.4,3888,10,.,.,.,.,.,NA,.,DALLAS,'057,0,NA,54,85,67,92,93.8,75,70
057919,SUNNYVALE ISD,2019,12358514,2905598,1333950,5762758,59312,69200,0,22489332,22489332,Traditional ISD/CSD,"1,813.329",10,DALLAS COUNTY,430,189,216,64,980,2,1,1882,A,97,A,96,A,90,A,100,N,N,N,N,N,1459,77.599999999999994,1880,285,15.2,92,4.9,185,9.8,0,0,0,0,0,0,.,.,.,.,.,NA,.,DALLAS,'057,0,NA,68,92,88,97,100,100,74
057922,COPPELL ISD,2019,95582313,12075316,10704734,35292571,278432,590197,25125016,154523563,179648579,Traditional ISD/CSD,"12,342.011",10,DALLAS COUNTY,6420,559,1729,381,3780,44,12,12925,A,95,A,95,A,93,A,94,N,N,N,N,N,10016,77.900000000000006,12857,1282,10,1550,12.1,847,6.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,DALLAS,'057,1,NA,76,94,88,97,99.8,95,82
058902,DAWSON ISD,2019,1210794,522837,241682,0,0,66585,0,2041898,2041898,Traditional ISD/CSD,100.759,17,DAWSON COUNTY,0,0,73,4,31,0,0,108,C,77,C,78,C,78,C,75,N,N,NA,N,Y,.,.,108,69,63.9,10,9.3,7,6.5,0,0,.,.,.,.,.,.,.,.,.,NA,.,DAWSON,'058,NA,NA,30,56,61,90,100,100,60
058905,KLONDIKE ISD,2019,4161210,445008,626522,1337489,1692,330100,0,6902021,6902021,Traditional ISD/CSD,235.340,17,DAWSON COUNTY,1,4,81,2,171,2,0,261,A,99,A,98,A,95,A,100,N,N,NA,N,Y,.,.,260,84,32.3,16,6.2,10,3.8,0,0,.,.,.,.,.,.,.,.,.,NA,.,DAWSON,'058,NA,NA,78,95,100,100,100,100,86
058906,LAMESA ISD,2019,5095113,13135581,1415010,1961306,0,1846128,0,23453138,23453138,Traditional ISD/CSD,"1,684.727",17,DAWSON COUNTY,15,67,1564,3,234,3,0,1886,B,84,B,81,B,89,C,71,N,N,N,N,N,1372,73,1879,1420,75.6,105,5.6,215,11.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,DAWSON,'058,0,NA,34,59,77,94,100,100,59
058909,SANDS CISD,2019,5403045,183052,326279,1291097,1765,62971,0,7268209,7268209,Traditional ISD/CSD,235.117,17,DAWSON COUNTY,2,3,103,1,140,4,0,253,A,93,A,96,A,94,B,87,N,N,NA,N,Y,.,.,252,138,54.8,35,13.9,17,6.7,0,0,.,.,.,.,.,.,.,.,.,NA,.,DAWSON,'058,NA,NA,59,89,100,100,100,100,73
059901,HEREFORD ISD,2019,13608689,18833151,1541671,0,0,0,957172,33983511,34940683,Traditional ISD/CSD,"3,762.498",16,DEAF SMITH COUNTY,13,23,3649,10,404,8,2,4109,B,82,C,77,B,84,C,76,N,N,N,N,N,2938,71.900000000000006,4086,3325,81.4,750,18.4,384,9.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,DEAF SMITH,'059,0,NA,41,71,53,80,95,85,59
059902,WALCOTT ISD,2019,531165,1209998,69153,131440,0,42581,0,1984337,1984337,Traditional ISD/CSD,134.132,16,DEAF SMITH COUNTY,0,0,124,0,22,0,0,146,C,75,C,75,C,77,C,71,N,N,NA,N,Y,.,.,146,89,61,16,11,16,11,.,0,.,.,.,.,.,.,.,.,.,NA,.,DEAF SMITH,'059,NA,NA,47,75,.,.,.,.,64
060902,COOPER ISD,2019,2400722,5778852,487199,649378,196436,17000,0,9529587,9529587,Traditional ISD/CSD,747.431,8,DELTA COUNTY,5,75,109,36,578,8,1,812,B,89,B,89,A,92,B,82,N,N,N,N,N,588,72.7,809,548,67.7,18,2.2,85,10.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,DELTA,'060,0,NA,47,79,78,95,98.1,95,67
060914,FANNINDEL ISD,2019,712711,1521960,162873,55447,64861,21484,0,2539336,2539336,Traditional ISD/CSD,144.228,8,DELTA COUNTY,5,55,14,7,87,0,0,168,B,85,C,78,B,89,C,76,N,N,N,N,N,105,62.5,168,148,88.1,6,3.6,27,16.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,DELTA,'060,0,NA,36,62,81,95,93.8,75,62
061802,NORTH TEXAS COLLEGIATE ACADEMY,2019,0,4884641,21105,0,0,0,0,4905746,4905746,Open Enrollment Charter,471.498,11,DENTON COUNTY,4,112,284,22,131,2,1,556,D,67,F,59,C,70,D,61,N,Y,N,N,N,247,44.4,556,475,85.4,197,35.4,55,9.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,34,59,.,.,.,.,63
061804,LEADERSHIP PREP SCHOOL,2019,0,10228113,489214,0,0,0,0,10717327,10717327,Open Enrollment Charter,"1,190.848",10,DENTON COUNTY,381,120,300,40,392,9,0,1242,A,92,A,91,B,87,A,95,N,Y,N,N,N,942,75.8,1242,42,3.4,74,6,94,7.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,NA,NA,64,91,.,.,95,85,74
061805,TRIVIUM ACADEMY,2019,0,4969270,339855,0,0,0,0,5309125,5309125,Open Enrollment Charter,577.677,11,DENTON COUNTY,100,31,105,27,324,2,4,593,B,86,A,90,C,77,C,78,N,Y,NA,N,Y,.,.,593,17,2.9,21,3.5,44,7.4,0,0,.,.,.,.,.,.,.,.,.,NA,.,DENTON,'061,NA,NA,60,90,.,.,.,.,73
061901,DENTON ISD,2019,188710138,62513893,17546942,86424472,1140749,9680113,0,366016307,366016307,Traditional ISD/CSD,"28,317.051",11,DENTON COUNTY,1042,4979,9408,413,14072,188,67,30169,B,89,B,89,B,88,B,89,N,N,N,N,N,22522,75.2,29952,13621,45.5,4418,14.8,3301,11,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,54,85,66,92,97.5,90,70
061902,LEWISVILLE ISD,2019,373572522,52102399,35211071,145221030,1966389,118339,3845,608191750,608195595,Traditional ISD/CSD,"48,945.874",11,DENTON COUNTY,7612,5841,15602,2071,20841,203,48,52218,B,89,B,89,B,88,B,89,N,N,N,N,N,40178,77.099999999999994,52104,18148,34.8,9129,17.5,6092,11.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,58,88,72,93,97.4,90,71
061903,PILOT POINT ISD,2019,9106964,4287909,820913,1577615,30690,0,5618383,15824091,21442474,Traditional ISD/CSD,"1,306.123",11,DENTON COUNTY,4,41,665,29,643,12,1,1395,B,87,B,89,B,89,B,82,N,N,N,N,N,1035,74.400000000000006,1392,793,57,372,26.7,119,8.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,47,79,71,93,100,100,68
061905,KRUM ISD,2019,9782318,10944985,1472529,3147355,174901,1701,0,25523789,25523789,Traditional ISD/CSD,"1,928.141",11,DENTON COUNTY,11,49,596,56,1322,14,1,2049,B,88,B,89,C,79,B,87,N,N,N,N,N,1593,77.900000000000006,2045,773,37.8,212,10.4,248,12.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,49,81,63,91,100,100,66
061906,PONDER ISD,2019,7675433,7245372,1006949,3277359,49166,0,0,19254279,19254279,Traditional ISD/CSD,"1,457.108",11,DENTON COUNTY,9,36,438,37,1015,13,2,1550,B,86,B,88,B,83,B,82,N,N,N,N,N,1174,75.900000000000006,1547,605,39.1,173,11.2,134,8.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,50,82,65,91,98.8,95,71
061907,AUBREY ISD,2019,12251417,9200646,1694847,4470599,94544,32600,0,27744653,27744653,Traditional ISD/CSD,"2,316.985",11,DENTON COUNTY,10,190,433,72,1712,22,3,2442,A,90,A,91,B,86,B,89,N,N,N,N,N,1842,75.5,2440,722,29.6,82,3.4,203,8.3,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,57,87,74,94,99.2,95,69
061908,SANGER ISD,2019,13177897,12792024,5773527,2287822,62636,0,485000,34093906,34578906,Traditional ISD/CSD,"2,574.119",11,DENTON COUNTY,20,104,766,94,1758,16,1,2759,B,85,B,86,B,80,B,83,N,N,N,N,N,2104,76.5,2752,1178,42.8,240,8.7,325,11.8,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,50,82,56,85,99.5,95,70
061910,ARGYLE ISD,2019,22805979,3436399,3028379,10306619,113055,0,517673,39690431,40208104,Traditional ISD/CSD,"2,935.930",11,DENTON COUNTY,93,49,379,85,2440,14,1,3061,A,95,A,94,B,83,A,98,N,N,N,N,N,2365,77.8,3039,292,9.6,85,2.8,288,9.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,68,92,84,96,99.5,95,71
061911,NORTHWEST ISD,2019,177957536,23089453,13684848,79959726,786321,29328,0,295507212,295507212,Traditional ISD/CSD,"22,929.665",11,DENTON COUNTY,1043,2133,5276,473,15026,125,65,24141,A,92,A,90,B,85,A,97,N,N,N,N,N,18193,75.599999999999994,24052,5023,20.9,1285,5.3,2371,9.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,61,90,70,93,95.8,85,73
061912,LAKE DALLAS ISD,2019,22464738,13317472,1347956,9716872,204405,0,275713,47051443,47327156,Traditional ISD/CSD,"3,802.636",11,DENTON COUNTY,91,338,1249,220,2098,29,6,4031,B,88,B,89,B,89,B,86,N,N,N,N,N,3147,78.400000000000006,4016,1797,44.7,380,9.5,458,11.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,52,83,73,93,99.3,95,68
061914,LITTLE ELM ISD,2019,51863842,16971805,5459993,21543783,260360,0,3985000,96099783,100084783,Traditional ISD/CSD,"7,358.730",11,DENTON COUNTY,301,1291,2973,345,2815,28,16,7769,B,85,B,86,B,80,B,83,N,N,N,N,N,5776,74.5,7758,3494,45,1417,18.3,621,8,0,0,0,0,0,0,.,.,.,.,.,NA,.,DENTON,'061,0,NA,49,81,58,88,97.8,90,70
062901,CUERO ISD,2019,11565846,3976517,1032283,5203348,0,0,0,21777994,21777994,Traditional ISD/CSD,"1,830.424",3,DEWITT COUNTY,7,218,968,47,743,3,3,1989,B,81,B,82,B,82,C,79,N,N,N,N,N,1527,77.2,1978,1190,60.2,75,3.8,225,11.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,DEWITT,'062,0,NA,46,78,54,82,97.5,90,66
062902,NORDHEIM ISD,2019,1793266,153340,188680,0,0,21898,0,2157184,2157184,Traditional ISD/CSD,137.614,3,DEWITT COUNTY,0,4,57,1,87,0,0,149,D,69,D,68,C,70,D,66,N,N,NA,N,Y,.,.,149,92,61.7,0,0,9,6,0,0,.,.,.,.,.,.,.,.,.,NA,.,DEWITT,'062,NA,NA,41,70,18,51,100,100,63
062903,YOAKUM ISD,2019,7066302,8048662,4750753,4541375,68736,203763,0,24679591,24679591,Traditional ISD/CSD,"1,477.030",3,DEWITT COUNTY,5,121,1047,18,425,0,0,1616,B,82,B,82,B,84,C,77,N,N,N,N,N,1231,76.400000000000006,1611,1125,69.8,271,16.8,244,15.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,DEWITT,'062,0,NA,43,74,54,82,100,100,65
062904,YORKTOWN ISD,2019,6780321,266717,756702,394966,2445,0,0,8201151,8201151,Traditional ISD/CSD,502.341,3,DEWITT COUNTY,0,12,276,6,252,0,0,546,D,63,C,73,C,70,F,38,N,N,N,N,N,397,72.8,545,336,61.7,6,1.1,60,11,0,0,0,0,0,0,.,.,.,.,.,NA,.,DEWITT,'062,0,NA,37,65,43,73,97.7,90,61
062905,WESTHOFF ISD,2019,1540100,38396,223865,0,0,61092,0,1863453,1863453,Traditional ISD/CSD,82.712,3,DEWITT COUNTY,0,1,36,2,48,0,0,87,B,82,C,79,B,85,C,75,N,N,NA,N,Y,.,.,87,60,69,7,8,4,4.6,.,0,.,.,.,.,.,.,.,.,.,NA,.,DEWITT,'062,NA,NA,52,79,.,.,.,.,72
062906,MEYERSVILLE ISD,2019,792251,408015,101695,0,0,14849,0,1316810,1316810,Traditional ISD/CSD,117.809,3,DEWITT COUNTY,0,4,28,1,99,0,0,132,B,82,B,85,B,84,C,74,N,N,NA,N,Y,.,.,132,70,53,0,0,9,6.8,.,0,.,.,.,.,.,.,.,.,.,NA,.,DEWITT,'062,NA,NA,56,85,.,.,.,.,65
063903,SPUR ISD,2019,2335004,2400171,128181,416886,5955,33843,156282,5320040,5476322,Traditional ISD/CSD,224.780,17,DICKENS COUNTY,1,7,108,7,123,0,0,246,B,89,B,89,A,93,B,80,N,N,NA,N,Y,.,.,245,151,61.6,2,0.8,33,13.5,0,0,.,.,.,.,.,.,.,.,.,NA,.,DICKENS,'063,NA,NA,45,73,100,100,100,100,65
063906,PATTON SPRINGS ISD,2019,977641,792124,100573,0,0,61487,0,1931825,1931825,Traditional ISD/CSD,90.010,17,DICKENS COUNTY,0,3,43,0,51,0,0,97,B,88,B,88,A,90,B,84,N,N,NA,N,Y,.,.,97,80,82.5,0,0,13,13.4,0,0,.,.,.,.,.,.,.,.,.,NA,.,DICKENS,'063,NA,NA,48,76,70,93,100,100,80
064903,CARRIZO SPRINGS CISD,2019,19841046,1648036,1338930,3186832,8520,0,0,26023364,26023364,Traditional ISD/CSD,"2,014.796",20,DIMMIT COUNTY,8,9,2074,11,117,0,0,2219,B,82,C,74,B,85,C,76,N,N,N,N,N,1613,73.099999999999994,2206,1712,77.6,127,5.8,202,9.2,0,0,0,0,0,0,.,.,.,.,.,NA,.,DIMMIT,'064,0,NA,40,70,55,83,91.9,65,63
065901,CLARENDON ISD,2019,1878984,3792545,277375,0,0,81238,0,6030142,6030142,Traditional ISD/CSD,415.283,16,DONLEY COUNTY,0,48,58,17,337,0,2,462,B,88,B,88,B,89,B,87,N,N,N,N,N,340,74.099999999999994,459,250,54.5,0,0,45,9.8,0,0,0,0,0,0,.,.,.,.,.,NA,.,DONLEY,'065,0,NA,53,84,60,90,96.9,90,69
065902,HEDLEY ISD,2019,632838,1149592,39367,273,0,22045,0,1844115,1844115,Traditional ISD/CSD,103.977,16,DONLEY COUNTY,1,2,27,1,79,1,0,111,Data Integrity Issues,88,B,89,B,85,B,87,N,N,NA,N,Y,.,.,111,84,75.7,4,3.6,11,9.9,0,0,.,.,.,.,.,.,.,.,.,NA,.,DONLEY,'065,NA,2,60,90,50,82,100,100,71
066005,RAMIREZ CSD,2019,275816,328540,134129,0,0,29813,0,768298,768298,Traditional ISD/CSD,22.872,2,DUVAL COUNTY,0,0,27,0,0,0,0,27,D,67,D,60,D,67,Not Rated,.,N,N,NA,N,Y,.,.,27,25,92.6,12,44.4,3,11.1,.,0,.,.,.,.,.,.,.,.,.,NA,.,DUVAL,'066,NA,NA,35,60,.,.,.,.,35
066901,BENAVIDES ISD,2019,2239241,1975255,487093,556876,9095,0,0,5267560,5267560,Traditional ISD/CSD,293.835,2,DUVAL COUNTY,0,0,318,0,1,0,0,319,B,87,B,85,A,91,C,78,N,N,N,N,N,249,78.099999999999994,319,262,82.1,14,4.4,41,12.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,DUVAL,'066,0,NA,39,69,70,93,100,100,65
066902,SAN DIEGO ISD,2019,2014546,10692965,947692,689770,896983,0,896983,15241956,16138939,Traditional ISD/CSD,"1,293.618",2,DUVAL COUNTY,1,2,1446,0,28,0,0,1477,B,85,C,79,B,89,C,74,N,N,N,N,N,1066,72.3,1475,1181,80.1,24,1.6,144,9.8,304,20.6,23,1.6,0,0,.,.,.,.,.,NA,.,DUVAL,'066,0,NA,34,59,88,97,95,85,59
066903,FREER ISD,2019,2770698,6063130,273297,1216986,27694,1889508,290000,12241313,12531313,Traditional ISD/CSD,710.322,2,DUVAL COUNTY,2,1,747,2,69,1,0,822,B,85,C,78,B,89,C,75,N,N,N,N,N,576,70.2,821,611,74.4,35,4.3,120,14.6,87,10.6,61,7.4,0,0,.,.,.,.,.,NA,.,DUVAL,'066,0,NA,38,67,80,95,91.7,65,65
067902,CISCO ISD,2019,6063651,3705704,308088,0,0,61828,0,10139271,10139271,Traditional ISD/CSD,814.551,14,EASTLAND COUNTY,10,18,157,15,659,7,0,866,A,90,A,93,A,93,B,84,N,N,N,N,N,649,75.099999999999994,864,494,57.2,11,1.3,103,11.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,EASTLAND,'067,0,NA,57,87,78,95,100,100,73
067903,EASTLAND ISD,2019,5119228,4892993,441177,963286,0,19,0,11416703,11416703,Traditional ISD/CSD,"1,040.043",14,EASTLAND COUNTY,12,10,303,15,793,1,0,1134,B,89,B,88,A,91,B,83,N,N,N,N,N,855,75.5,1132,661,58.4,80,7.1,116,10.2,0,0,0,0,0,0,.,.,.,.,.,NA,.,EASTLAND,'067,0,NA,50,82,71,93,97.1,90,75
067904,GORMAN ISD,2019,1230035,1958795,754172,276872,8687,199511,0,4428072,4428072,Traditional ISD/CSD,276.562,14,EASTLAND COUNTY,0,3,105,6,190,0,0,304,B,87,B,85,B,89,B,81,N,N,N,N,N,225,74,304,215,70.7,14,4.6,44,14.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,EASTLAND,'067,0,NA,38,67,78,95,100,100,67
067907,RANGER ISD,2019,1497531,2208343,174635,0,0,11315,0,3891824,3891824,Traditional ISD/CSD,324.396,14,EASTLAND COUNTY,2,5,90,3,258,6,0,364,C,78,C,72,B,80,C,73,N,N,N,N,N,268,73.8,363,278,76.6,9,2.5,59,16.3,0,0,0,0,0,0,.,.,.,.,.,NA,.,EASTLAND,'067,0,NA,36,62,52,79,94.4,80,68
067908,RISING STAR ISD,2019,630169,1302834,69447,0,0,0,0,2002450,2002450,Traditional ISD/CSD,153.476,14,EASTLAND COUNTY,1,3,33,3,127,0,0,167,A,90,A,90,A,93,B,83,N,N,N,N,N,121,72.900000000000006,166,117,70.5,8,4.8,14,8.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,EASTLAND,'067,1,NA,45,76,92,98,100,100,70
068802,COMPASS ACADEMY CHARTER SCHOOL,2019,0,9105582,566924,0,0,0,0,9672506,9672506,Open Enrollment Charter,"1,062.636",18,ECTOR COUNTY,2,20,424,8,658,4,0,1116,B,83,B,82,B,82,B,84,N,Y,NA,N,Y,.,.,1116,146,13.1,3,0.3,83,7.4,0,0,.,.,.,.,.,.,.,.,.,NA,.,ECTOR,'068,NA,NA,54,82,.,.,.,.,72
068803,UTPB STEM ACADEMY,2019,0,5765492,48018,0,0,0,0,5813510,5813510,Open Enrollment Charter,686.376,18,ECTOR COUNTY,11,6,327,17,356,3,1,721,C,77,C,77,C,78,C,76,N,Y,NA,N,Y,.,.,721,137,19,19,2.6,35,4.9,0,0,.,.,.,.,.,.,.,.,.,NA,.,ECTOR,'068,NA,NA,49,77,.,.,100,100,68
068901,ECTOR COUNTY ISD,2019,153402638,111392562,16345057,14524002,288375,533618,0,296486252,296486252,Traditional ISD/CSD,"29,826.605",18,ECTOR COUNTY,293,1296,25372,365,5757,91,94,33268,C,75,C,72,C,76,C,71,N,N,N,N,N,23830,71.900000000000006,33159,18698,56.4,6166,18.6,2839,8.6,232,0.7,0,0,0,0,.,.,.,.,.,NA,.,ECTOR,'068,0,NA,36,62,56,85,90.7,65,61
069901,ROCKSPRINGS ISD,2019,3227778,489576,134408,349067,2943,107185,0,4310957,4310957,Traditional ISD/CSD,272.602,15,EDWARDS COUNTY,0,0,235,0,71,0,0,306,C,77,C,79,B,80,C,71,N,N,NA,N,Y,.,.,303,214,70.6,22,7.3,42,13.9,0,0,.,.,.,.,.,.,.,.,.,NA,.,EDWARDS,'069,NA,NA,32,57,60,90,100,100,56
069902,NUECES CANYON CISD,2019,2883120,565413,71360,0,0,0,0,3519893,3519893,Traditional ISD/CSD,254.452,15,EDWARDS COUNTY,0,0,118,7,154,1,0,280,B,89,A,90,A,93,B,87,N,N,N,N,N,190,68.099999999999994,279,199,71.3,4,1.4,29,10.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,EDWARDS,'069,1,NA,47,79,88,97,100,100,63
070801,WAXAHACHIE FAITH FAMILY ACADEMY,2019,0,4151977,44081,0,0,0,0,4196058,4196058,Open Enrollment Charter,"2,360.508",10,ELLIS COUNTY,0,785,1747,15,95,4,0,2646,A,92,B,87,B,80,B,83,Y,Y,N,N,N,1886,71.3,2646,2598,98.2,1345,50.8,152,5.7,0,0,0,0,0,0,6,90,5,40,1,NA,.,ELLIS,'070,NA,NA,26,76,41,93,98.9,95,61
070901,AVALON ISD,2019,440754,3574409,68466,23604,62774,0,0,4170007,4170007,Traditional ISD/CSD,448.018,10,ELLIS COUNTY,0,6,133,4,218,0,1,362,B,83,B,86,B,87,C,75,N,N,NA,N,Y,.,.,362,238,65.7,18,5,46,12.7,0,0,.,.,.,.,.,.,.,.,.,NA,.,ELLIS,'070,NA,NA,43,72,74,94,100,100,61
070903,ENNIS ISD,2019,24011415,25123334,1997733,7784369,182434,0,2031821,59099285,61131106,Traditional ISD/CSD,"5,331.472",10,ELLIS COUNTY,25,727,3289,71,1699,8,31,5850,B,89,B,87,A,92,B,83,N,N,N,N,N,4248,73,5818,4254,73.1,850,14.6,600,10.3,0,0,0,0,0,0,.,.,.,.,.,NA,.,ELLIS,'070,0,NA,46,78,75,94,96.4,90,66
070905,FERRIS ISD,2019,4746168,20412687,793958,1436990,1016531,2150375,0,30556709,30556709,Traditional ISD/CSD,"2,448.268",10,ELLIS COUNTY,12,162,1905,31,587,9,3,2709,B,83,B,83,B,87,C,73,N,N,N,N,N,1986,73.400000000000006,2706,2172,80.3,797,29.5,311,11.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,ELLIS,'070,0,NA,40,70,60,90,98,95,66
070907,ITALY ISD,2019,1490181,6229972,539703,456434,305267,1226,0,9022783,9022783,Traditional ISD/CSD,560.039,10,ELLIS COUNTY,0,74,193,18,315,2,0,602,B,84,B,84,B,86,C,78,N,N,N,N,N,455,75.599999999999994,602,402,66.8,48,8,82,13.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,ELLIS,'070,0,NA,45,76,56,85,100,100,69
070908,MIDLOTHIAN ISD,2019,41615613,27850483,12269045,22840551,420027,0,38411307,104995719,143407026,Traditional ISD/CSD,"8,966.096",10,ELLIS COUNTY,102,707,2050,435,6058,34,3,9389,B,89,A,90,B,82,B,88,N,N,N,N,N,7248,77.5,9355,2127,22.7,349,3.7,988,10.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,ELLIS,'070,0,NA,56,87,68,92,96.5,90,71
070909,MILFORD ISD,2019,989015,2223816,80545,689,0,0,0,3294065,3294065,Traditional ISD/CSD,243.653,10,ELLIS COUNTY,0,55,92,18,100,1,0,266,F,58,D,68,C,70,F,30,N,N,NA,N,Y,.,.,265,184,69.4,42,15.8,38,14.3,0,0,.,.,.,.,.,.,.,.,.,NA,1,ELLIS,'070,NA,NA,32,57,28,62,100,100,63
070910,PALMER ISD,2019,3366773,8720877,582785,785149,487068,1328000,0,15270652,15270652,Traditional ISD/CSD,"1,147.629",10,ELLIS COUNTY,5,21,517,26,655,2,0,1226,B,89,A,90,A,90,B,88,N,N,N,N,N,899,73.400000000000006,1225,709,57.9,127,10.4,192,15.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,ELLIS,'070,0,NA,54,85,62,91,100,100,70
070911,RED OAK ISD,2019,20969259,29318529,4005727,6836355,1170673,0,18259897,62300543,80560440,Traditional ISD/CSD,"5,597.374",10,ELLIS COUNTY,49,1394,2165,169,2077,33,4,5891,B,88,B,89,B,88,B,84,N,N,N,N,N,4650,79.099999999999994,5880,2854,48.5,669,11.4,688,11.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,ELLIS,'070,0,NA,51,82,67,92,98.6,95,70
070912,WAXAHACHIE ISD,2019,46253334,33991637,4290876,15403575,346135,2636971,2913,102922528,102925441,Traditional ISD/CSD,"8,428.552",10,ELLIS COUNTY,46,1131,3022,270,4371,77,20,8937,B,89,B,84,A,90,B,85,N,N,N,N,N,6899,77.400000000000006,8915,4239,47.5,767,8.6,1158,13,352,3.9,0,0,0,0,.,.,.,.,.,NA,.,ELLIS,'070,0,NA,52,83,69,92,92,70,68
070915,MAYPEARL ISD,2019,3729926,6504154,514133,936414,235983,0,0,11920610,11920610,Traditional ISD/CSD,"1,092.027",10,ELLIS COUNTY,6,22,246,22,883,3,2,1184,B,85,B,89,B,87,C,74,N,N,N,N,N,917,77.400000000000006,1184,486,41,70,5.9,90,7.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,ELLIS,'070,0,NA,48,80,73,93,100,100,66
071801,BURNHAM WOOD CHARTER SCHOOL DISTRI,2019,0,8276780,370896,0,0,450129,0,9097805,9097805,Open Enrollment Charter,828.414,19,EL PASO COUNTY,9,22,739,7,71,1,1,850,A,94,A,93,A,93,A,97,N,Y,N,N,N,680,80.099999999999994,849,484,57,264,31.1,50,5.9,0,0,0,0,260,30.6,.,.,.,.,.,NA,.,EL PASO,'071,0,NA,55,86,88,97,100,100,70
071803,PASO DEL NORTE ACADEMY CHARTER DIS,2019,0,2144507,35162,0,0,0,0,2179669,2179669,Open Enrollment Charter,197.304,19,EL PASO COUNTY,0,0,219,0,2,0,0,221,A,100,B,89,A,95,B,81,Y,Y,N,N,N,219,100,219,207,94.5,54,24.7,17,7.8,0,0,0,0,0,0,10,100,5,61,5,NA,.,EL PASO,'071,NA,NA,39,89,30,91,95.9,85,83
